idTransacao,dataDaTransacao,Estabelecimento,cidade,estado,pais,valor,parcelado?,numeroDaParcela,classificacaoDoGasto
1,2023-01-05,Supermercado ABC,São Paulo,SP,Brasil,250.00,Não,0,Alimentação
2,2023-01-10,Restaurante XYZ,Rio de Janeiro,RJ,Brasil,120.50,Não,0,Alimentação
3,2023-01-15,Loja de Roupas Fashion,Porto Alegre,RS,Brasil,350.00,Não,0,Vestuário
4,2023-02-02,Cinema Cineplex,Chicago,IL,Estados Unidos,30.00,Não,0,Entretenimento
5,2023-02-05,Posto de Gasolina ABC,Londres,Inglaterra,Reino Unido,70.00,Não,0,Transporte
6,2023-02-10,Livraria XYZ,São Paulo,SP,Brasil,80.00,Não,0,Lazer
7,2023-02-15,Supermercado ABC,São Paulo,SP,Brasil,180.00,Sim,1,Alimentação
8,2023-02-15,Supermercado ABC,São Paulo,SP,Brasil,180.00,Sim,2,Alimentação
9,2023-02-20,Restaurante XYZ,Rio de Janeiro,RJ,Brasil,250.00,Não,0,Alimentação
10,2023-03-02,Loja de Eletrônicos ABC,Los Angeles,CA,Estados Unidos,1500.00,Não,0,Tecnologia
11,2023-03-05,Posto de Gasolina ABC,Londres,Inglaterra,Reino Unido,45.00,Não,0,Transporte
12,2023-03-10,Supermercado ABC,São Paulo,SP,Brasil,320.00,Não,0,Alimentação
13,2023-03-15,Restaurante XYZ,Rio de Janeiro,RJ,Brasil,180.00,Não,0,Alimentação
14,2023-04-01,Livraria XYZ,São Paulo,SP,Brasil,50.00,Não,0,Lazer
15,2023-04-05,Supermercado ABC,São Paulo,SP,Brasil,220.00,Não,0,Alimentação
16,2023-04-10,Restaurante XYZ,Rio de Janeiro,RJ,Brasil,150.00,Não,0,Alimentação
17,2023-04-15,Loja de Roupas Fashion,Porto Alegre,RS,Brasil,420.00,Sim,1,Vestuário
18,2023-04-15,Loja de Roupas Fashion,Porto Alegre,RS,Brasil,420.00,Sim,2,Vestuário
19,2023-04-20,Cinema Cineplex,Chicago,IL,Estados Unidos,25.00,Não,0,Entretenimento
20,2023-05-02,Supermercado ABC,São Paulo,SP,Brasil,180.00,Não,0,Alimentação
21,2023-05-05,Posto de Gasolina ABC,Londres,Inglaterra,Reino Unido,60.00,Não,0,Transporte
22,2023-05-10,Supermercado ABC,São Paulo,SP,Brasil,210.00,Não,0,Alimentação
23,2023-05-15,Restaurante XYZ,Rio de Janeiro,RJ,Brasil,180.00,Sim,1,Alimentação
24,2023-05-15,Restaurante XYZ,Rio de Janeiro,RJ,Brasil,180.00,Sim,2,Alimentação
25,2023-06-02,Loja de Eletrônicos ABC,Los Angeles,CA,Estados Unidos,2500.00,Não,0,Tecnologia
26,2023-06-05,Supermercado ABC,São Paulo,SP,Brasil,230.00,Não,0,Alimentação
27,2023-06-10,Restaurante XYZ,Rio de Janeiro,RJ,Brasil,150.00,Não,0,Alimentação
28,2023-06-15,Loja de Roupas Fashion,Porto Alegre,RS,Brasil,400.00,Sim,1,Vestuário
29,2023-06-15,Loja de Roupas Fashion,Porto Alegre,RS,Brasil,400.00,Sim,2,Vestuário
30,2023-06-20,Cinema Cineplex,Chicago,IL,Estados Unidos,20.00,Não,0,Entretenimento
